indice,nome_completo,descricao,aplicacao,colecao,arquivo
AFRI2100,Aerosol Free Vegetation Index (2100nm),"Índice de vegetação robusto à aerossóis, usando banda SWIR 2100nm",Vegetação,Landsat,AFRI2100_landsat.js
AFRI2100,Aerosol Free Vegetation Index (2100nm),"Índice de vegetação robusto à aerossóis, usando banda SWIR 2100nm",Vegetação,Sentinel-1,AFRI2100_sentinel-1.js
AFRI2100,Aerosol Free Vegetation Index (2100nm),"Índice de vegetação robusto à aerossóis, usando banda SWIR 2100nm",Vegetação,Sentinel-2,AFRI2100_sentinel-2.js
ANDWI,Automated Normalized Difference Water Index,Detecção automatizada de corpos d'água,Água,Landsat,ANDWI_landsat.js
ANDWI,Automated Normalized Difference Water Index,Detecção automatizada de corpos d'água,Água,Sentinel-1,ANDWI_sentinel-1.js
ARI2,Anthocyanin Reflectance Index 2,Estimativa de conteúdo de antocianina foliar usando banda red-edge,Vegetação / Saúde vegetal,Landsat,ARI2_landsat.js
ARI2,Anthocyanin Reflectance Index 2,Estimativa de conteúdo de antocianina foliar usando banda red-edge,Vegetação / Saúde vegetal,Sentinel-1,ARI2_sentinel-1.js
ARI2,Anthocyanin Reflectance Index 2,Estimativa de conteúdo de antocianina foliar usando banda red-edge,Vegetação / Saúde vegetal,Sentinel-2,ARI2_sentinel-2.js
ARVI,Atmospherically Resistant Vegetation Index,NDVI corrigido para efeitos atmosféricos usando banda azul,Vegetação,Landsat,ARVI_landsat.js
ARVI,Atmospherically Resistant Vegetation Index,NDVI corrigido para efeitos atmosféricos usando banda azul,Vegetação,Sentinel-1,ARVI_sentinel-1.js
AVI,Advanced Vegetation Index,Índice de vegetação avançado sensível a dossel denso,Vegetação,Landsat,AVI_landsat.js
AVI,Advanced Vegetation Index,Índice de vegetação avançado sensível a dossel denso,Vegetação,Sentinel-1,AVI_sentinel-1.js
AVI,Advanced Vegetation Index,Índice de vegetação avançado sensível a dossel denso,Vegetação,Sentinel-2,AVI_sentinel-2.js
AWEInsh,Automated Water Extraction Index (no shadow),Extração de água sem influência de sombras,Água,Sentinel-1,AWEInsh_sentinel-1.js
BAI,Burn Area Index,Detecção de áreas queimadas pelo realce de carvão pós-fogo,Fogo / Queimadas,Landsat,BAI_landsat.js
BAI,Burn Area Index,Detecção de áreas queimadas pelo realce de carvão pós-fogo,Fogo / Queimadas,Sentinel-1,BAI_sentinel-1.js
